Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       Egz.
Kazys          Kazaitis       3         9         10        1         1         4
Matas          Kazaitis       2         2         6         2         8         1
Antanas        Valdaitis      8         7         10        10        7         5
Kazys          Virgaitis      1         10        9         8         8         10
Valdas         Kazaitis       3         7         6         1         7         9
Lukas          Petraitis      6         8         4         7         10        7
Antanas        Romaitis       9         1         8         7         4         10
Virgis         Lukaitis       6         6         4         7         10        8
Mantas         Valdaitis      10        1         2         4         8         5
Jonas          Kazaitis       9         5         2         10        4         1
Matas          Mantaitis      3         7         5         3         1         1
Matas          Mantaitis      3         8         5         10        10        10
Lukas          Jonaitis       8         1         5         10        8         4
Romas          Antanaitis     7         4         5         2         1         8
Jonas          Romaitis       3         10        8         10        2         9
Jonas          Mataitis       9         1         6         10        9         10
Jonas          Valdaitis      5         3         10        2         1         2
Tomas          Kazaitis       7         4         3         6         10        4
Valdas         Tomaitis       5         4         10        3         1         7
Kazys          Lukaitis       10        7         6         7         2         1
Lukas          Romaitis       9         9         2         5         4         7
Kazys          Antanaitis     6         8         6         1         1         9
Antanas        Mataitis       3         9         2         3         8         6
Virgis         Tomaitis       7         5         1         4         1         4
Romas          Jonaitis       10        3         3         9         5         3
Jonas          Petraitis      1         6         6         9         9         3
Valdas         Lukaitis       4         10        4         8         7         5
Romas          Jonaitis       4         7         8         9         8         6
Valdas         Mantaitis      6         6         8         5         10        2
Jonas          Lukaitis       5         5         4         3         7         7
Valdas         Kazaitis       9         1         8         2         7         8
Valdas         Mataitis       2         5         8         3         5         4
Mantas         Mantaitis      2         1         7         2         4         6
Jonas          Tomaitis       3         4         5         6         3         6
Tomas          Mantaitis      4         6         5         3         7         6
Lukas          Romaitis       3         1         1         3         7         9
Valdas         Mantaitis      9         3         1         8         7         1
Jonas          Tomaitis       8         10        3         4         10        2
Matas          Virgaitis      2         5         3         8         8         8
Mantas         Mantaitis      4         8         7         1         10        10
Antanas        Lukaitis       10        7         6         2         6         9
Romas          Mataitis       6         6         9         3         3         9
Romas          Tomaitis       2         6         3         2         5         8
Tomas          Romaitis       8         10        10        4         10        1
Jonas          Valdaitis      9         9         6         10        7         10
Romas          Petraitis      3         4         10        7         6         1
Mantas         Lukaitis       1         6         1         2         4         9
Virgis         Virgaitis      5         9         2         8         2         6
Mantas         Virgaitis      4         3         5         2         2         4
Jonas          Petraitis      9         2         4         1         1         5
Kazys          Tomaitis       4         3         6         8         10        4
Petras         Lukaitis       9         2         9         4         10        3
Antanas        Lukaitis       1         9         4         1         2         8
Kazys          Mataitis       9         1         10        2         1         8
Valdas         Lukaitis       1         8         7         1         1         9
Petras         Mantaitis      4         10        2         6         7         4
Lukas          Romaitis       1         7         8         2         10        9
Romas          Virgaitis      10        4         10        4         3         2
Mantas         Tomaitis       1         7         9         6         3         9
Jonas          Antanaitis     10        6         8         5         9         10
Lukas          Mantaitis      8         3         6         7         2         7
Matas          Lukaitis       6         9         4         5         5         10
Kazys          Mataitis       6         2         2         7         5         6
Kazys          Lukaitis       10        7         5         9         4         10
Matas          Tomaitis       8         10        5         4         10        4
Mantas         Jonaitis       4         10        3         3         9         8
Romas          Valdaitis      8         9         4         5         8         7
Petras         Virgaitis      10        1         7         10        10        7
Lukas          Antanaitis     1         2         6         1         6         8
Tomas          Lukaitis       10        6         7         10        1         2
Mantas         Valdaitis      5         6         7         1         5         5
Tomas          Mantaitis      9         10        10        4         3         8
Antanas        Tomaitis       10        6         6         10        3         8
Mantas         Antanaitis     4         7         10        6         1         6
Petras         Antanaitis     10        6         10        10        1         7
Jonas          Antanaitis     4         6         9         9         4         4
Antanas        Virgaitis      3         7         9         8         8         1
Valdas         Antanaitis     7         6         9         9         4         8
Matas          Virgaitis      9         6         10        8         7         5
Romas          Valdaitis      6         5         6         8         3         10
Petras         Antanaitis     10        3         8         1         1         7
Romas          Virgaitis      1         10        3         10        1         10
Antanas        Tomaitis       5         6         8         3         5         6
Jonas          Romaitis       6         7         4         6         6         9
Matas          Mataitis       3         9         5         6         6         10
Romas          Valdaitis      3         10        9         2         7         2
Virgis         Mantaitis      1         5         10        4         7         4
Valdas         Virgaitis      9         7         8         2         5         9
Petras         Petraitis      5         5         5         2         6         7
Antanas        Mantaitis      5         3         9         1         5         4
Matas          Mataitis       5         6         4         4         8         4
Jonas          Mataitis       5         2         9         3         4         5
Kazys          Lukaitis       5         1         6         3         3         1
Romas          Antanaitis     3         10        10        9         8         4
Petras         Lukaitis       5         6         2         6         7         6
Antanas        Tomaitis       1         7         7         3         4         6
Valdas         Virgaitis      5         6         3         6         8         7
Matas          Virgaitis      1         6         6         3         6         10
Petras         Tomaitis       10        2         1         7         8         3
Valdas         Petraitis      6         4         8         7         4         2
Petras         Tomaitis       7         9         2         3         2         6
Valdas         Lukaitis       9         6         4         5         8         1
Romas          Romaitis       4         2         6         1         1         10
Matas          Kazaitis       9         5         4         2         1         5
Tomas          Petraitis      2         8         8         6         6         7
Romas          Lukaitis       5         9         10        2         7         10
Kazys          Romaitis       5         5         7         5         9         7
Jonas          Jonaitis       5         7         1         1         5         5
Matas          Antanaitis     3         8         7         7         10        2
Matas          Virgaitis      10        7         7         7         7         6
Kazys          Romaitis       5         6         8         5         9         1
Valdas         Petraitis      6         5         7         10        3         1
Jonas          Tomaitis       4         10        5         4         4         5
Jonas          Mataitis       9         4         6         4         9         3
Romas          Tomaitis       6         3         10        1         7         8
Matas          Antanaitis     1         6         3         5         8         8
Lukas          Romaitis       10        10        5         1         7         2
Jonas          Tomaitis       3         2         3         3         10        9
Virgis         Lukaitis       8         6         8         4         6         6
Virgis         Tomaitis       5         7         8         2         7         2
Valdas         Antanaitis     7         7         7         5         5         4
Tomas          Mataitis       9         2         3         5         9         5
Kazys          Jonaitis       8         6         10        8         3         4
Petras         Antanaitis     2         2         7         1         1         4
Petras         Romaitis       4         7         2         1         9         1
Lukas          Mantaitis      8         4         1         2         3         1
Matas          Kazaitis       9         9         1         4         9         5
Mantas         Lukaitis       6         1         2         8         5         2
Lukas          Mantaitis      2         5         8         3         3         3
Tomas          Tomaitis       4         7         2         9         6         8
Mantas         Tomaitis       8         10        7         10        6         9
Virgis         Petraitis      8         4         3         7         3         4
Mantas         Petraitis      7         9         1         10        9         7
Petras         Mantaitis      5         10        2         9         7         4
Tomas          Tomaitis       6         8         2         8         2         7
Petras         Antanaitis     6         3         9         1         1         6
Tomas          Mantaitis      4         10        6         8         4         2
Antanas        Virgaitis      5         8         5         9         8         4
Antanas        Virgaitis      1         10        6         9         3         10
Virgis         Antanaitis     7         7         10        7         10        4
Kazys          Antanaitis     4         10        2         3         10        7
Romas          Lukaitis       4         5         10        2         9         8
Virgis         Kazaitis       1         10        5         5         8         8
Petras         Mataitis       10        1         3         2         2         3
Tomas          Lukaitis       2         2         9         3         3         5
Lukas          Romaitis       7         1         3         1         6         4
Valdas         Tomaitis       1         7         3         3         8         1
Petras         Romaitis       7         4         10        10        4         7
Valdas         Tomaitis       8         6         2         5         7         7
Kazys          Romaitis       8         2         4         8         6         6
Tomas          Kazaitis       8         1         5         4         1         4
Romas          Romaitis       8         3         7         6         3         2
Antanas        Antanaitis     4         4         1         3         2         5
Antanas        Kazaitis       4         9         5         10        5         7
Kazys          Lukaitis       8         1         8         3         8         5
Tomas          Petraitis      9         3         4         8         7         7
Tomas          Kazaitis       6         4         6         9         1         2
Lukas          Kazaitis       9         1         3         8         9         2
Valdas         Virgaitis      3         5         5         1         2         4
Mantas         Romaitis       9         7         8         1         10        7
Virgis         Valdaitis      5         8         10        10        1         3
Lukas          Antanaitis     4         8         5         7         7         3
Antanas        Tomaitis       3         6         4         4         1         5
Lukas          Valdaitis      9         2         9         10        6         2
Mantas         Petraitis      4         7         3         1         7         3
Tomas          Kazaitis       1         7         3         9         2         10
Romas          Romaitis       4         7         2         4         2         1
Tomas          Jonaitis       7         9         8         3         2         10
Antanas        Romaitis       5         1         6         3         7         3
Mantas         Kazaitis       1         6         8         8         4         8
Virgis         Petraitis      5         5         5         2         8         5
Kazys          Mataitis       1         7         3         8         9         3
Mantas         Valdaitis      8         2         1         2         9         9
Romas          Tomaitis       6         2         7         5         6         5
Mantas         Jonaitis       8         6         10        9         1         7
Virgis         Petraitis      2         9         4         9         8         4
Virgis         Lukaitis       6         6         5         9         5         3
Antanas        Antanaitis     3         2         5         10        9         10
Virgis         Mataitis       7         8         3         8         9         3
Valdas         Petraitis      8         10        9         6         5         10
Valdas         Lukaitis       6         2         2         8         7         8
Lukas          Kazaitis       5         9         3         7         10        2
Mantas         Romaitis       3         1         8         10        3         2
Kazys          Valdaitis      4         5         8         3         3         3
Tomas          Petraitis      9         5         2         8         5         5
Mantas         Tomaitis       8         2         10        5         2         10
Lukas          Mantaitis      1         2         9         8         1         3
Jonas          Mantaitis      10        4         3         10        3         7
Lukas          Lukaitis       2         6         3         2         2         2
Lukas          Lukaitis       1         1         10        9         7         3
Mantas         Petraitis      1         4         9         6         1         4
Jonas          Virgaitis      6         2         7         8         3         9
Romas          Valdaitis      8         1         8         4         8         10
Romas          Antanaitis     1         4         8         1         6         2
Lukas          Lukaitis       4         7         3         6         10        3
Virgis         Mataitis       4         7         1         4         2         2
Matas          Antanaitis     3         10        5         2         8         6
Romas          Tomaitis       3         5         8         1         3         9
Tomas          Lukaitis       10        8         7         1         9         4
Petras         Romaitis       10        10        3         2         2         2
Romas          Valdaitis      7         9         10        7         8         8
Matas          Romaitis       1         5         3         7         10        9
Matas          Romaitis       2         5         5         8         9         1
Virgis         Lukaitis       2         1         1         1         10        1
Jonas          Mantaitis      9         7         1         5         7         9
Virgis         Virgaitis      10        2         10        2         9         6
Kazys          Antanaitis     5         10        2         10        9         5
Matas          Romaitis       2         6         2         1         1         7
Tomas          Kazaitis       10        5         2         9         10        4
Lukas          Virgaitis      10        2         4         3         9         5
Lukas          Tomaitis       3         2         4         1         6         2
Matas          Mantaitis      6         7         5         3         6         9
Valdas         Jonaitis       5         10        6         8         7         1
Romas          Mantaitis      7         8         7         2         4         6
Kazys          Mataitis       3         2         7         7         10        10
Mantas         Antanaitis     1         2         5         6         8         3
Matas          Tomaitis       7         9         1         6         6         8
Valdas         Virgaitis      6         3         5         5         3         2
Valdas         Petraitis      2         5         2         8         6         4
Virgis         Petraitis      6         9         3         3         10        8
Virgis         Mantaitis      1         10        7         10        9         9
Kazys          Virgaitis      10        3         5         3         7         1
Valdas         Valdaitis      9         4         6         2         7         3
Kazys          Kazaitis       10        1         10        2         4         1
Petras         Petraitis      6         3         9         3         10        3
Mantas         Valdaitis      2         7         1         3         5         7
Lukas          Lukaitis       4         3         2         5         6         9
Jonas          Petraitis      9         4         2         10        9         3
Jonas          Kazaitis       4         10        3         3         5         1
Mantas         Petraitis      6         5         6         2         5         2
Romas          Lukaitis       10        2         5         5         7         8
Petras         Petraitis      4         1         4         5         7         5
Kazys          Virgaitis      1         6         5         5         4         4
Jonas          Valdaitis      3         3         4         6         8         4
Mantas         Romaitis       10        10        5         3         10        10
Petras         Mantaitis      3         1         3         9         5         7
Romas          Kazaitis       5         7         7         3         7         9
Tomas          Valdaitis      2         4         8         2         5         2
Romas          Virgaitis      5         2         9         7         7         4
Romas          Mataitis       4         8         2         1         4         8
Petras         Tomaitis       8         7         8         6         3         5
Jonas          Petraitis      7         5         4         1         7         10
Jonas          Romaitis       9         9         4         2         7         8
Romas          Kazaitis       6         1         1         4         7         6
Matas          Romaitis       5         7         8         7         4         7
Valdas         Romaitis       8         9         8         10        9         8
Virgis         Lukaitis       7         7         2         3         10        7
Jonas          Antanaitis     5         4         1         2         10        4
Matas          Antanaitis     3         7         5         4         1         4
Jonas          Kazaitis       10        10        1         9         10        10
Petras         Mantaitis      10        3         3         8         3         1
Mantas         Virgaitis      3         2         7         1         8         3
Virgis         Virgaitis      10        10        4         1         6         7
Romas          Mataitis       2         7         8         8         1         7
Romas          Jonaitis       4         10        7         7         4         5
Tomas          Petraitis      5         1         9         7         1         1
Kazys          Kazaitis       10        5         7         7         6         3
Mantas         Tomaitis       4         9         6         1         10        10
Virgis         Valdaitis      10        4         6         3         3         4
Petras         Antanaitis     10        8         9         6         2         8
Petras         Valdaitis      2         5         6         10        4         2
Lukas          Romaitis       6         8         3         7         5         5
Matas          Petraitis      8         6         8         1         6         10
Valdas         Jonaitis       10        8         6         3         7         9
Mantas         Jonaitis       9         10        1         2         7         1
Mantas         Tomaitis       9         8         9         4         8         5
Matas          Mataitis       2         3         3         5         2         10
Tomas          Virgaitis      8         6         1         6         10        1
Tomas          Antanaitis     9         2         1         4         7         9
Lukas          Antanaitis     3         9         1         7         5         10
Virgis         Mataitis       6         8         8         3         5         1
Mantas         Tomaitis       6         1         3         6         6         8
Tomas          Jonaitis       2         1         7         8         10        7
Jonas          Antanaitis     2         8         3         10        6         4
Lukas          Mantaitis      9         6         6         9         7         10
Mantas         Virgaitis      5         8         2         3         1         7
Tomas          Jonaitis       7         4         6         8         9         2
Romas          Petraitis      3         10        2         2         4         9
Mantas         Petraitis      5         8         8         6         10        1
Mantas         Mantaitis      2         5         9         6         5         10
Jonas          Jonaitis       10        5         1         3         9         3
Jonas          Valdaitis      6         9         10        2         2         7
Tomas          Valdaitis      4         1         2         7         9         8
Tomas          Lukaitis       7         8         3         4         1         4
Tomas          Jonaitis       4         5         4         8         6         8
Lukas          Mantaitis      2         10        4         4         6         1
Jonas          Romaitis       6         10        10        4         3         2
Lukas          Lukaitis       3         5         9         8         3         8
Romas          Mantaitis      1         7         1         3         8         5
Jonas          Mataitis       2         1         5         6         1         6
Matas          Tomaitis       9         5         9         5         5         2
Petras         Lukaitis       7         6         3         7         6         1
Kazys          Lukaitis       10        8         4         2         8         6
Virgis         Mataitis       4         10        7         6         7         2
Mantas         Virgaitis      1         8         1         9         8         9
Virgis         Antanaitis     1         4         3         5         2         7
Virgis         Jonaitis       4         1         2         5         2         9
Antanas        Kazaitis       7         1         5         8         4         3
Valdas         Tomaitis       9         5         2         3         1         3
Tomas          Mataitis       9         2         8         10        4         5
Antanas        Virgaitis      1         7         6         1         4         6
Valdas         Antanaitis     2         6         5         10        1         8
Lukas          Jonaitis       5         2         1         3         6         4
Jonas          Kazaitis       8         4         2         4         3         5
Tomas          Petraitis      9         4         2         9         2         3
Matas          Virgaitis      4         8         5         4         10        5
Tomas          Jonaitis       9         10        9         3         9         6
Kazys          Petraitis      7         3         6         4         2         1
Petras         Petraitis      6         6         9         10        10        1
Jonas          Mantaitis      3         4         2         9         6         2
Matas          Mataitis       7         4         3         1         4         1
Jonas          Mataitis       9         2         7         1         1         1
Antanas        Petraitis      7         1         1         7         10        7
Valdas         Lukaitis       1         1         7         6         7         4
Matas          Petraitis      6         4         5         6         2         9
Romas          Romaitis       3         3         8         9         9         5
Romas          Tomaitis       6         6         1         5         8         2
Antanas        Virgaitis      6         7         7         2         4         6
Lukas          Kazaitis       9         3         9         8         4         6
Virgis         Antanaitis     6         2         10        4         9         8
Romas          Virgaitis      4         2         3         2         8         6
Petras         Mantaitis      5         9         7         4         2         7
Lukas          Valdaitis      6         1         5         9         3         2
Romas          Kazaitis       10        10        4         8         10        8
Kazys          Antanaitis     1         6         4         8         4         10
Mantas         Lukaitis       3         6         1         4         8         9
Jonas          Petraitis      2         3         2         9         6         9
Valdas         Romaitis       5         10        10        7         10        1
Valdas         Valdaitis      8         7         6         3         1         7
Kazys          Antanaitis     8         9         8         10        7         1
Kazys          Kazaitis       6         9         1         1         4         6
Antanas        Kazaitis       10        3         6         9         3         2
Petras         Antanaitis     8         2         1         2         6         8
Antanas        Antanaitis     4         1         8         7         10        2
Valdas         Antanaitis     5         6         4         5         6         6
Matas          Romaitis       7         1         8         8         6         10
Matas          Mataitis       4         3         7         1         2         10
Valdas         Mantaitis      4         1         3         3         6         2
Jonas          Tomaitis       5         1         3         3         8         4
Virgis         Virgaitis      7         9         2         2         10        1
Tomas          Lukaitis       4         8         8         7         1         10
Antanas        Jonaitis       8         8         3         9         7         8
Kazys          Lukaitis       10        4         6         5         9         8
Virgis         Romaitis       4         3         5         1         9         7
Virgis         Antanaitis     1         9         2         3         6         3
Petras         Virgaitis      9         10        9         1         4         2
Mantas         Lukaitis       4         6         9         10        6         4
Jonas          Kazaitis       2         10        2         10        3         1
Valdas         Petraitis      9         10        5         9         3         1
Antanas        Tomaitis       1         8         8         10        4         9
Tomas          Mantaitis      6         10        3         2         4         9
Mantas         Mantaitis      4         8         8         8         2         5
Virgis         Lukaitis       7         4         8         7         10        6
Jonas          Antanaitis     4         9         10        9         2         4
Petras         Antanaitis     9         3         3         6         7         8
Lukas          Mataitis       6         6         8         8         4         2
Antanas        Tomaitis       4         9         6         10        5         5
Matas          Valdaitis      6         9         9         5         7         7
Petras         Romaitis       1         10        5         4         1         6
Jonas          Antanaitis     8         8         2         3         3         1
Tomas          Antanaitis     2         8         1         5         6         5
Petras         Valdaitis      8         4         6         6         4         7
Lukas          Lukaitis       4         10        2         1         7         7
Jonas          Lukaitis       5         2         5         1         6         7
Jonas          Jonaitis       4         3         5         2         5         6
Romas          Mantaitis      4         3         8         7         5         4
Romas          Tomaitis       10        6         6         1         4         9
Romas          Jonaitis       8         1         8         1         6         6
Tomas          Lukaitis       10        4         1         7         9         5
Mantas         Mataitis       2         9         1         5         1         6
Petras         Petraitis      8         3         4         4         10        2
Romas          Virgaitis      3         8         4         3         3         3
Matas          Lukaitis       1         9         7         5         4         10
Petras         Petraitis      9         7         2         8         2         10
Valdas         Jonaitis       8         8         8         4         10        5
Jonas          Kazaitis       2         4         2         10        5         8
Tomas          Tomaitis       6         5         6         7         9         2
Valdas         Tomaitis       6         10        3         1         1         8
Mantas         Kazaitis       10        1         10        4         1         4
Valdas         Mataitis       2         3         5         2         4         8
Romas          Virgaitis      7         7         1         4         1         5
Romas          Mantaitis      4         2         4         8         10        3
Antanas        Mantaitis      5         6         3         7         3         9
Antanas        Virgaitis      10        7         4         1         10        9
Lukas          Romaitis       5         9         5         6         1         2
Virgis         Petraitis      6         3         4         4         7         8
Tomas          Mantaitis      8         9         7         2         2         9
Matas          Jonaitis       3         9         8         1         6         7
Virgis         Romaitis       10        3         2         1         3         10
Tomas          Tomaitis       2         4         2         8         7         8
Matas          Tomaitis       2         8         5         8         7         9
Jonas          Lukaitis       8         6         2         1         8         5
Valdas         Tomaitis       1         10        1         10        10        4
Jonas          Valdaitis      8         5         8         5         10        4
Mantas         Lukaitis       3         8         4         9         1         6
Virgis         Mataitis       8         1         7         3         6         7
Tomas          Tomaitis       7         7         1         9         4         2
Matas          Petraitis      9         3         9         9         9         1
Matas          Mantaitis      8         9         4         8         6         4
Valdas         Jonaitis       1         9         9         7         5         10
Matas          Mataitis       10        6         4         4         8         4
Kazys          Kazaitis       10        4         4         10        5         7
Jonas          Valdaitis      2         6         8         9         10        2
Tomas          Lukaitis       7         3         5         5         2         6
Romas          Valdaitis      1         8         1         1         10        8
Virgis         Virgaitis      10        7         4         5         2         9
Mantas         Romaitis       1         6         2         4         9         9
Lukas          Jonaitis       4         7         10        3         9         4
Antanas        Lukaitis       2         4         6         3         3         3
Matas          Lukaitis       8         4         1         2         10        5
Petras         Romaitis       9         5         8         5         9         9
Virgis         Antanaitis     7         5         8         7         1         5
Jonas          Jonaitis       6         9         10        8         1         7
Mantas         Kazaitis       3         6         9         10        3         3
Lukas          Antanaitis     3         6         10        10        10        9
Matas          Lukaitis       1         7         5         2         8         5
Petras         Antanaitis     2         1         4         10        6         5
Valdas         Jonaitis       2         7         7         2         7         5
Romas          Jonaitis       8         1         5         6         7         1
Antanas        Petraitis      1         8         3         10        8         10
Petras         Virgaitis      4         10        5         1         1         6
Jonas          Mataitis       6         8         7         1         3         3
Kazys          Tomaitis       6         1         3         8         5         3
Valdas         Tomaitis       3         10        6         6         9         6
Jonas          Antanaitis     6         8         7         5         7         5
Lukas          Kazaitis       10        4         5         3         9         6
Virgis         Tomaitis       10        6         2         5         1         6
Petras         Kazaitis       8         8         2         1         5         10
Petras         Jonaitis       3         2         7         3         6         6
Jonas          Lukaitis       4         1         7         10        9         10
Antanas        Tomaitis       7         1         2         5         1         5
Kazys          Antanaitis     3         2         3         3         1         10
Valdas         Petraitis      8         6         4         4         9         8
Mantas         Tomaitis       2         9         8         10        1         4
Virgis         Valdaitis      7         8         6         8         8         7
Antanas        Petraitis      5         4         10        10        7         5
Mantas         Antanaitis     9         4         8         8         4         3
Lukas          Petraitis      8         9         3         3         1         3
Valdas         Lukaitis       8         9         3         8         5         2
Matas          Romaitis       1         9         3         10        8         7
Tomas          Mataitis       2         9         8         7         5         5
Matas          Valdaitis      2         3         3         2         2         8
Valdas         Valdaitis      10        1         8         1         6         6
Mantas         Virgaitis      7         10        2         3         10        10
Kazys          Virgaitis      1         4         1         2         10        4
Tomas          Mataitis       6         2         10        1         8         7
Antanas        Jonaitis       2         8         4         3         4         5
Matas          Mataitis       5         8         1         9         10        3
Virgis         Petraitis      4         9         7         8         3         4
Tomas          Tomaitis       8         4         1         6         10        5
Matas          Lukaitis       2         7         2         2         5         5
Lukas          Kazaitis       10        7         4         1         2         6
Jonas          Lukaitis       1         10        9         9         4         9
Petras         Valdaitis      4         8         8         6         10        4
Kazys          Kazaitis       2         9         7         4         7         7
Virgis         Antanaitis     8         3         4         1         9         10
Kazys          Virgaitis      1         1         2         10        10        3
Tomas          Valdaitis      2         5         3         2         9         4
Matas          Petraitis      4         8         2         2         6         6
Petras         Jonaitis       8         8         8         5         1         1
Lukas          Mataitis       10        4         5         6         2         5
Kazys          Virgaitis      5         4         2         3         5         5
Kazys          Lukaitis       6         9         9         10        3         8
Romas          Mataitis       2         1         2         8         2         9
Matas          Petraitis      7         3         8         4         7         1
Tomas          Kazaitis       5         5         10        8         9         3
Valdas         Mantaitis      2         8         6         7         4         2
Mantas         Antanaitis     7         10        1         6         6         3
Valdas         Antanaitis     1         7         7         2         6         1
Matas          Kazaitis       7         4         2         5         8         1
Romas          Romaitis       6         4         1         5         1         3
Kazys          Tomaitis       5         10        7         1         3         2
Antanas        Tomaitis       1         8         9         9         5         5
Mantas         Valdaitis      1         2         6         6         1         5
Matas          Tomaitis       8         5         8         8         8         2
Tomas          Mataitis       5         7         7         10        8         7
Virgis         Mataitis       3         7         7         7         6         2
Petras         Mantaitis      10        7         6         10        6         2
Romas          Kazaitis       3         5         5         10        3         5
Antanas        Antanaitis     9         7         5         6         1         1
Romas          Valdaitis      1         2         4         6         2         3
Matas          Tomaitis       4         2         7         1         5         5
Virgis         Virgaitis      4         6         9         2         10        6
Valdas         Kazaitis       5         8         5         10        4         9
Petras         Mataitis       6         5         7         3         10        2
Antanas        Mataitis       3         9         1         9         1         5
Antanas        Romaitis       5         6         7         3         5         8
Virgis         Petraitis      10        10        2         4         3         10
Antanas        Petraitis      3         4         3         4         5         4
Virgis         Tomaitis       3         3         10        2         2         7
Tomas          Tomaitis       9         7         8         7         3         6
Virgis         Mataitis       9         1         2         5         10        10
Virgis         Jonaitis       3         10        4         10        7         5
Matas          Tomaitis       10        6         8         5         9         7
Jonas          Virgaitis      6         9         2         9         6         1
Virgis         Valdaitis      1         7         10        9         3         6
Mantas         Tomaitis       8         4         9         7         10        2
Antanas        Antanaitis     10        4         7         10        8         1
Matas          Petraitis      1         5         1         4         4         1
Matas          Mantaitis      3         4         5         10        1         8
Lukas          Mataitis       3         3         6         8         3         3
Virgis         Virgaitis      5         6         7         2         2         5
Lukas          Mataitis       10        6         2         5         3         7
Kazys          Antanaitis     6         3         8         4         7         5
Tomas          Petraitis      3         6         7         5         10        9
Mantas         Kazaitis       4         3         10        8         8         10
Antanas        Kazaitis       5         3         6         7         2         1
Romas          Romaitis       7         9         7         5         5         4
Jonas          Valdaitis      6         4         8         4         8         1
Lukas          Kazaitis       1         5         4         8         8         7
Kazys          Jonaitis       7         10        4         2         9         5
Valdas         Kazaitis       10        4         1         7         10        2
Jonas          Valdaitis      2         2         1         4         9         10
Tomas          Virgaitis      5         3         3         6         3         3
Valdas         Romaitis       7         9         4         1         7         10
Mantas         Mantaitis      10        2         9         9         3         2
Romas          Mantaitis      5         10        8         5         10        4
Matas          Mantaitis      5         2         2         9         7         6
Tomas          Antanaitis     1         7         10        3         1         9
Kazys          Romaitis       8         2         5         1         6         9
Lukas          Romaitis       7         6         1         10        9         10
Tomas          Petraitis      10        8         5         5         9         8
Virgis         Antanaitis     6         10        10        4         6         4
Jonas          Mataitis       1         9         2         2         5         6
Petras         Valdaitis      9         10        1         1         9         8
Tomas          Mantaitis      3         9         7         3         7         7
Petras         Mantaitis      6         2         2         4         10        4
Virgis         Antanaitis     10        7         6         7         7         4
Matas          Mataitis       1         6         10        2         8         3
Valdas         Virgaitis      2         5         2         4         7         3
Kazys          Romaitis       8         5         5         3         10        2
Virgis         Kazaitis       1         7         9         8         5         3
Virgis         Valdaitis      9         2         7         4         6         8
Jonas          Tomaitis       6         9         10        1         9         7
Tomas          Mataitis       2         7         7         3         3         3
Petras         Valdaitis      5         6         4         6         4         4
Virgis         Petraitis      5         5         2         10        10        2
Lukas          Virgaitis      6         10        6         6         5         9
Antanas        Jonaitis       8         8         1         7         3         5
Petras         Petraitis      3         6         10        5         6         5
Tomas          Kazaitis       4         6         7         10        10        10
Tomas          Romaitis       7         7         7         4         5         9
